date,ticker,pct_change_prev_close,day_percent_change,max_day_percent_change,source,title,description,url,same_or_prev
11/7/19,IFMK,-28.6,-22.48062016,6.838931955,gnw,iFresh Announces Termination of Share Exchange Agreement,"NEW YORK, Nov. 06, 2019 (GLOBE NEWSWIRE) -- iFresh, Inc. (""iFresh"" or ""the Company"") (NASDAQ: IFMK), a leading Asian American grocery supermarket chain and online grocer, announced today that its...",https://www.globenewswire.com/news-release/2019/11/06/1942417/0/en/iFresh-Announces-Termination-of-Share-Exchange-Agreement.html,prev
11/7/19,IFMK,-28.6,-22.48062016,6.838931955,gnw,iFresh Announces Termination of Share Exchange Agreement,"NEW YORK, Nov. 06, 2019 (GLOBE NEWSWIRE) -- iFresh, Inc. (""iFresh"" or ""the Company"") (NASDAQ: IFMK), a leading Asian American grocery supermarket chain and online grocer, announced today that its...",https://www.globenewswire.com/news-release/2019/11/06/1942201/0/en/iFresh-Announces-Termination-of-Share-Exchange-Agreement.html,prev
11/7/19,OBSV,-64.6,-44.02390438,3.386454183,gnw,Obseva Announces That Nolasiban Implant 4 Study Did Not Meet Primary Endpoint,"   Company to Discontinue Current Nolasiban IVF Program   Geneva, Switzerland and Boston, MA – November 7, 2019 – ObsEva SA (NASDAQ: OBSV / SIX: OBSN), a biopharmaceutical company developing and...",https://www.globenewswire.com/news-release/2019/11/07/1942789/0/en/Obseva-Announces-That-Nolasiban-Implant-4-Study-Did-Not-Meet-Primary-Endpoint.html,same
11/8/19,PACD,26.4,26.8115942,28.01086957,bw,Pacific Drilling Launches Redesigned Website,"Pacific Drilling S.A. (NYSE: PACD) announced today that it has launched a newly redesigned corporate website at www.pacificdrilling.com. The revamped site includes improvements to navigation, streamli...",http://www.businesswire.com/news/home/20191108005535/en/Pacific-Drilling-Launches-Redesigned-Website,same
11/12/19,BNGO,24,22.96983759,24.12993039,gnw,Takeaways from AMP 2019 in Baltimore: Users of Bionano’s Saphyr System Presented Results from Multiple Studies Demonstrating the System’s Utility for a Variety of Disease Indications,"SAN DIEGO, Nov. 12, 2019 (GLOBE NEWSWIRE) -- Bionano Genomics, Inc. (NASDAQ: BNGO), a life sciences instrumentation company that develops and markets Saphyr®, a platform for ultra-sensitive and...",https://www.globenewswire.com/news-release/2019/11/12/1945342/0/en/Takeaways-from-AMP-2019-in-Baltimore-Users-of-Bionano-s-Saphyr-System-Presented-Results-from-Multiple-Studies-Demonstrating-the-System-s-Utility-for-a-Variety-of-Disease-Indication.html,same
11/12/19,APDN,331.8,215.6146179,227.076412,bw,Successful DNA Tagging of Leather at One of the World’s Largest Tanneries,"Applied DNA Sciences, Inc. (NASDAQ: APDN) (“Applied DNA,” “we,” “our” or the “Company””), a leader in large-scale Polymerase Chain Reaction (PCR)-based DNA manufacturing, announced today the successfu...",http://www.businesswire.com/news/home/20191112005678/en/Successful-DNA-Tagging-of-Leather-at-One-of-the-World%E2%80%99s-Largest-Tanneries,same
11/14/19,DTIL,24.6,23.56020942,24.92146597,gnw,"Precision BioSciences Welcomes Healthcare Industry Expert, Kevin J. Buehler, to its Board of Directors","DURHAM, N.C., Nov. 13, 2019 (GLOBE NEWSWIRE) -- Precision BioSciences, Inc. (Nasdaq: DTIL), a genome editing company dedicated to improving life through the application of its pioneering,...",https://www.globenewswire.com/news-release/2019/11/13/1946234/0/en/Precision-BioSciences-Welcomes-Healthcare-Industry-Expert-Kevin-J-Buehler-to-its-Board-of-Directors.html,prev
11/14/19,ASTC,43.7,39.02439024,110.5691057,bw,1st Detect’s Tracer 1000™ Deployed in Live Screening at Miami International Airport,Astrotech Corporation’s (NASDAQ: ASTC) 1st Detect subsidiary announced today that it was selected by the U.S. Department of Homeland Security (DHS) Transportation Security Administration (TSA) to cond...,http://www.businesswire.com/news/home/20191114005174/en/1st-Detect%E2%80%99s-Tracer-1000%E2%84%A2-Deployed-in-Live-Screening-at-Miami-International-Airport,same
11/18/19,I,-40.1,-42.7655025,0,bw,C-Band Alliance Responds to Announcement by Federal Communications Commission Chairman Regarding the C-Band Spectrum Proceeding,"The C-Band Alliance (“CBA”), comprised of the leading global satellite operators Intelsat (NYSE: I), SES (Euronext Paris: SESG), and Telesat, responded today to an announcement by the Chairman of the...",http://www.businesswire.com/news/home/20191118005733/en/C-Band-Alliance-Responds-to-Announcement-by-Federal-Communications-Commission-Chairman-Regarding-the-C-Band-Spectrum-Proceeding,same
11/20/19,GNPX,-43.5,-34.086629,9.22787194,bw,Genprex Announces $1.26 Million Registered Direct Offering,"Genprex, Inc. (“Genprex” or the “Company”) (NASDAQ: GNPX), a clinical stage gene therapy company developing a new approach to treating cancer based upon a novel proprietary technology platform, announ...",http://www.businesswire.com/news/home/20191120005675/en/Genprex-Announces-1.26-Million-Registered-Direct-Offering,same
